状态包ID,状态模板名称,buff伤害动画时间点,buff添加动画时间点,buff动画删除时间点,状态显示名称,是否显示状态图标,状态图标或持续特效,状态挂点,状态伤害特效,状态添加特效,状态消失特效,状态描述,状态类型,概率,生效条件,状态效果ID,数据,同状态ID叠加覆喂规则,状态包结束条件,生效次数,持续回合数M,buff添加特效挂点,buff伤害特效挂点,击中效果提示,
308,5率鼓舞35气,2,2,,鼓舞,0,,2,meffect_13,meffect_37,,加35点怒气,Buff,10000,1,28,data =35,1,1,1,,1,3,meffect_37,
309,5率鼓舞40气,2,2,,鼓舞,0,,2,meffect_13,meffect_37,,加40点怒气,Buff,10000,1,28,data =40,1,1,1,,1,3,meffect_37,
310,5率鼓舞45气,2,2,,鼓舞,0,,2,meffect_13,meffect_37,,加45点怒气,Buff,10000,1,28,data =45,1,1,1,,1,3,meffect_37,
311,5率鼓舞50气,2,2,,鼓舞,0,,2,meffect_13,meffect_37,,加50点怒气,Buff,10000,1,28,data =50,1,1,1,,1,3,meffect_37,
312,5率鼓舞55气,2,2,,鼓舞,0,,2,meffect_13,meffect_37,,加55点怒气,Buff,10000,1,28,data =55,1,1,1,,1,3,meffect_37,
313,5率鼓舞60气,2,2,,鼓舞,0,,2,meffect_13,meffect_37,,加60点怒气,Buff,10000,1,28,data =60,1,1,1,,1,3,meffect_37,
314,5率鼓舞65气,2,2,,鼓舞,0,,2,meffect_13,meffect_37,,加65点怒气,Buff,10000,1,28,data =65,1,1,1,,1,3,meffect_37,
315,5率鼓舞70气,2,2,,鼓舞,0,,2,meffect_13,meffect_37,,加70点怒气,Buff,10000,1,28,data =70,1,1,1,,1,3,meffect_37,
316,5率鼓舞75气,2,2,,鼓舞,0,,2,meffect_13,meffect_37,,加75点怒气,Buff,10000,1,28,data =75,1,1,1,,1,3,meffect_37,
317,5率鼓舞80气,2,2,,鼓舞,0,,2,meffect_13,meffect_37,,加90点怒气,Buff,10000,1,28,data =80,1,1,1,,1,3,meffect_37,
318,5率鼓舞90气,2,2,,鼓舞,0,,2,meffect_13,meffect_37,,加80点怒气,Buff,10000,1,28,data =90,1,1,1,,1,3,meffect_37,
319,5率鼓舞100气,2,2,,鼓舞,0,,2,meffect_13,meffect_37,,加100点怒气,Buff,10000,1,28,data =100,1,1,1,,1,3,meffect_37,
320,5率鼓舞125气,2,2,,鼓舞,0,,2,meffect_13,meffect_37,,加125点怒气,Buff,10000,1,28,data =125,1,1,1,,1,3,meffect_37,
321,5率鼓舞145气,2,2,,鼓舞,0,,2,meffect_13,meffect_37,,加145点怒气,Buff,10000,1,28,data =145,1,1,1,,1,3,meffect_37,
322,1级怒杀,2,2,1,,0,,1,beffect_21,meffect_38,,减少对方25怒气,debuff,10000,1,28,data=-25,1,1,1,,1,3,meffect_38,
323,2级怒杀,2,2,1,,0,,1,beffect_21,meffect_38,,减少对方50怒气,debuff,10000,1,28,data=-50,1,1,1,,1,3,meffect_38,
324,3级怒杀,2,2,1,,0,,1,beffect_21,meffect_38,,减少对方75怒气,debuff,10000,1,28,data=-75,1,1,1,,1,3,meffect_38,
325,4级怒杀,2,2,1,,0,,1,beffect_21,meffect_38,,减少对方100怒气,debuff,10000,1,28,data=-100,1,1,1,,1,3,meffect_38,
326,5级怒杀,2,2,1,,0,,1,beffect_21,meffect_38,,减少对方125怒气,debuff,10000,1,28,data=-125,1,1,1,,1,3,meffect_38,
327,6级怒杀,2,2,1,,0,,1,beffect_21,meffect_38,,减少对方150怒气,debuff,10000,1,28,data=-150,1,1,1,,1,3,meffect_38,
328,1率怒杀5气,2,2,1,,0,,1,beffect_21,meffect_38,,20%减少对方5怒气,debuff,2000,1,28,data=-5,1,1,1,,1,3,meffect_38,
329,2率怒杀5气,2,2,1,,0,,1,beffect_21,meffect_38,,40%减少对方5怒气,debuff,4000,1,28,data=-5,1,1,1,,1,3,meffect_38,
330,3率怒杀5气,2,2,1,,0,,1,beffect_21,meffect_38,,60%减少对方5怒气,debuff,6000,1,28,data=-5,1,1,1,,1,3,meffect_38,
331,4率怒杀5气,2,2,1,,0,,1,beffect_21,meffect_38,,80%减少对方5怒气,debuff,8000,1,28,data=-5,1,1,1,,1,3,meffect_38,
332,5率怒杀5气,2,2,1,,0,,1,beffect_21,meffect_38,,100%减少对方5怒气,debuff,10000,1,28,data=-5,1,1,1,,1,3,meffect_38,
333,1率怒杀10气,2,2,1,,0,,1,beffect_21,meffect_38,,20%减少对方10怒气,debuff,2000,1,28,data=-10,1,1,1,,1,3,meffect_38,
334,2率怒杀10气,2,2,1,,0,,1,beffect_21,meffect_38,,40%减少对方10怒气,debuff,4000,1,28,data=-10,1,1,1,,1,3,meffect_38,
335,3率怒杀10气,2,2,1,,0,,1,beffect_21,meffect_38,,60%减少对方10怒气,debuff,6000,1,28,data=-10,1,1,1,,1,3,meffect_38,
336,4率怒杀10气,2,2,1,,0,,1,beffect_21,meffect_38,,80%减少对方10怒气,debuff,8000,1,28,data=-10,1,1,1,,1,3,meffect_38,
337,5率怒杀10气,2,2,1,,0,,1,beffect_21,meffect_38,,100%减少对方10怒气,debuff,10000,1,28,data=-10,1,1,1,,1,3,meffect_38,
338,1率怒杀15气,2,2,1,,0,,1,beffect_21,meffect_38,,20%减少对方15怒气,debuff,2000,1,28,data=-15,1,1,1,,1,3,meffect_38,
339,2率怒杀15气,2,2,1,,0,,1,beffect_21,meffect_38,,40%减少对方15怒气,debuff,4000,1,28,data=-15,1,1,1,,1,3,meffect_38,
340,3率怒杀15气,2,2,1,,0,,1,beffect_21,meffect_38,,60%减少对方15怒气,debuff,6000,1,28,data=-15,1,1,1,,1,3,meffect_38,
341,4率怒杀15气,2,2,1,,0,,1,beffect_21,meffect_38,,80%减少对方15怒气,debuff,8000,1,28,data=-15,1,1,1,,1,3,meffect_38,
342,5率怒杀15气,2,2,1,,0,,1,beffect_21,meffect_38,,100%减少对方15怒气,debuff,10000,1,28,data=-15,1,1,1,,1,3,meffect_38,
343,1率怒杀20气,2,2,1,,0,,1,beffect_21,meffect_38,,20%减少对方20怒气,debuff,2000,1,28,data=-20,1,1,1,,1,3,meffect_38,
344,2率怒杀20气,2,2,1,,0,,1,beffect_21,meffect_38,,40%减少对方20怒气,debuff,4000,1,28,data=-20,1,1,1,,1,3,meffect_38,
345,3率怒杀20气,2,2,1,,0,,1,beffect_21,meffect_38,,60%减少对方20怒气,debuff,6000,1,28,data=-20,1,1,1,,1,3,meffect_38,
346,4率怒杀20气,2,2,1,,0,,1,beffect_21,meffect_38,,80%减少对方20怒气,debuff,8000,1,28,data=-20,1,1,1,,1,3,meffect_38,
347,5率怒杀20气,2,2,1,,0,,1,beffect_21,meffect_38,,100%减少对方20怒气,debuff,10000,1,28,data=-20,1,1,1,,1,3,meffect_38,
348,1率怒杀25气,2,2,1,,0,,1,beffect_21,meffect_38,,20%减少对方25怒气,debuff,2000,1,28,data=-25,1,1,1,,1,3,meffect_38,
349,2率怒杀25气,2,2,1,,0,,1,beffect_21,meffect_38,,40%减少对方25怒气,debuff,4000,1,28,data=-25,1,1,1,,1,3,meffect_38,
350,3率怒杀25气,2,2,1,,0,,1,beffect_21,meffect_38,,60%减少对方25怒气,debuff,6000,1,28,data=-25,1,1,1,,1,3,meffect_38,
351,4率怒杀25气,2,2,1,,0,,1,beffect_21,meffect_38,,80%减少对方25怒气,debuff,8000,1,28,data=-25,1,1,1,,1,3,meffect_38,
352,5率怒杀25气,2,2,1,,0,,1,beffect_21,meffect_38,,100%减少对方25怒气,debuff,10000,1,28,data=-25,1,1,1,,1,3,meffect_38,
353,1率怒杀30气,2,2,1,,0,,1,beffect_21,meffect_38,,20%减少对方30怒气,debuff,2000,1,28,data=-30,1,1,1,,1,3,meffect_38,
354,2率怒杀30气,2,2,1,,0,,1,beffect_21,meffect_38,,40%减少对方30怒气,debuff,4000,1,28,data=-30,1,1,1,,1,3,meffect_38,
355,3率怒杀30气,2,2,1,,0,,1,beffect_21,meffect_38,,60%减少对方30怒气,debuff,6000,1,28,data=-30,1,1,1,,1,3,meffect_38,
356,4率怒杀30气,2,2,1,,0,,1,beffect_21,meffect_38,,80%减少对方30怒气,debuff,8000,1,28,data=-30,1,1,1,,1,3,meffect_38,
357,5率怒杀30气,2,2,1,,0,,1,beffect_21,meffect_38,,100%减少对方30怒气,debuff,10000,1,28,data=-30,1,1,1,,1,3,meffect_38,
358,1率怒杀35气,2,2,1,,0,,1,beffect_21,meffect_38,,20%减少对方35怒气,debuff,2000,1,28,data=-35,1,1,1,,1,3,meffect_38,
359,2率怒杀35气,2,2,1,,0,,1,beffect_21,meffect_38,,40%减少对方35怒气,debuff,4000,1,28,data=-35,1,1,1,,1,3,meffect_38,
360,3率怒杀35气,2,2,1,,0,,1,beffect_21,meffect_38,,60%减少对方35怒气,debuff,6000,1,28,data=-35,1,1,1,,1,3,meffect_38,
361,4率怒杀35气,2,2,1,,0,,1,beffect_21,meffect_38,,80%减少对方35怒气,debuff,8000,1,28,data=-35,1,1,1,,1,3,meffect_38,
362,5率怒杀35气,2,2,1,,0,,1,beffect_21,meffect_38,,100%减少对方35怒气,debuff,10000,1,28,data=-35,1,1,1,,1,3,meffect_38,
363,1率怒杀40气,2,2,1,,0,,1,beffect_21,meffect_38,,20%减少对方40怒气,debuff,2000,1,28,data=-40,1,1,1,,1,3,meffect_38,
364,2率怒杀40气,2,2,1,,0,,1,beffect_21,meffect_38,,40%减少对方40怒气,debuff,4000,1,28,data=-40,1,1,1,,1,3,meffect_38,
365,3率怒杀40气,2,2,1,,0,,1,beffect_21,meffect_38,,60%减少对方40怒气,debuff,6000,1,28,data=-40,1,1,1,,1,3,meffect_38,
366,4率怒杀40气,2,2,1,,0,,1,beffect_21,meffect_38,,80%减少对方40怒气,debuff,8000,1,28,data=-40,1,1,1,,1,3,meffect_38,
367,5率怒杀40气,2,2,1,,0,,1,beffect_21,meffect_38,,100%减少对方40怒气,debuff,10000,1,28,data=-40,1,1,1,,1,3,meffect_38,
368,1率怒杀45气,2,2,1,,0,,1,beffect_21,meffect_38,,40%减少对方45怒气,debuff,2000,1,28,data=-45,1,1,1,,1,3,meffect_38,
369,2率怒杀45气,2,2,1,,0,,1,beffect_21,meffect_38,,40%减少对方45怒气,debuff,4000,1,28,data=-45,1,1,1,,1,3,meffect_38,
370,3率怒杀45气,2,2,1,,0,,1,beffect_21,meffect_38,,60%减少对方45怒气,debuff,6000,1,28,data=-45,1,1,1,,1,3,meffect_38,
371,4率怒杀45气,2,2,1,,0,,1,beffect_21,meffect_38,,80%减少对方45怒气,debuff,8000,1,28,data=-45,1,1,1,,1,3,meffect_38,
372,5率怒杀45气,2,2,1,,0,,1,beffect_21,meffect_38,,100%减少对方45怒气,debuff,10000,1,28,data=-45,1,1,1,,1,3,meffect_38,
373,1率怒杀50气,2,2,1,,0,,1,beffect_21,meffect_38,,40%减少对方50怒气,debuff,2000,1,28,data=-50,1,1,1,,1,3,meffect_38,
374,2率怒杀50气,2,2,1,,0,,1,beffect_21,meffect_38,,40%减少对方50怒气,debuff,4000,1,28,data=-50,1,1,1,,1,3,meffect_38,
375,3率怒杀50气,2,2,1,,0,,1,beffect_21,meffect_38,,60%减少对方50怒气,debuff,6000,1,28,data=-50,1,1,1,,1,3,meffect_38,
376,4率怒杀50气,2,2,1,,0,,1,beffect_21,meffect_38,,80%减少对方50怒气,debuff,8000,1,28,data=-50,1,1,1,,1,3,meffect_38,
377,5率怒杀50气,2,2,1,,0,,1,beffect_21,meffect_38,,100%减少对方50怒气,debuff,10000,1,28,data=-50,1,1,1,,1,3,meffect_38,
378,5率怒杀55气,2,2,1,,0,,1,beffect_21,meffect_38,,100%减少对方55怒气,debuff,10000,1,28,data=-55,1,1,1,,1,3,meffect_38,
379,5率怒杀60气,2,2,1,,0,,1,beffect_21,meffect_38,,100%减少对方60怒气,debuff,10000,1,28,data=-60,1,1,1,,1,3,meffect_38,
380,5率怒杀65气,2,2,1,,0,,1,beffect_21,meffect_38,,100%减少对方65怒气,debuff,10000,1,28,data=-65,1,1,1,,1,3,meffect_38,
381,5率怒杀70气,2,2,1,,0,,1,beffect_21,meffect_38,,100%减少对方70怒气,debuff,10000,1,28,data=-70,1,1,1,,1,3,meffect_38,
382,5率怒杀75气,2,2,1,,0,,1,beffect_21,meffect_38,,100%减少对方75怒气,debuff,10000,1,28,data=-75,1,1,1,,1,3,meffect_38,
383,5率怒杀80气,2,2,1,,0,,1,beffect_21,meffect_38,,100%减少对方80怒气,debuff,10000,1,28,data=-80,1,1,1,,1,3,meffect_38,
384,5率怒杀85气,2,2,1,,0,,1,beffect_21,meffect_38,,100%减少对方85怒气,debuff,10000,1,28,data=-85,1,1,1,,1,3,meffect_38,
385,5率怒杀90气,2,2,1,,0,,1,beffect_21,meffect_38,,100%减少对方90怒气,debuff,10000,1,28,data=-90,1,1,1,,1,3,meffect_38,
386,5率怒杀100气,2,2,1,,0,,1,beffect_21,meffect_38,,100%减少对方100怒气,debuff,10000,1,28,data=-100,1,1,1,,1,3,meffect_38,
387,1级吸怒状态,2,2,,,0,,,meffect_13,meffect_37,,"给敌方施加反翨buff
加20点怒气",Buff,10000,1,52,data= 137,1,1,1,,1,3,meffect_37,
388,2级吸怒状态,2,2,,,0,,,meffect_13,meffect_37,,加40点怒气,Buff,10000,1,52,data= 140,1,1,1,,1,3,meffect_37,
389,3级吸怒状态,2,2,,,0,,,meffect_13,meffect_37,,加60点怒气,Buff,10000,1,52,data=143,1,1,1,,1,3,meffect_37,
390,4级吸怒状态,2,2,,,0,,,meffect_13,meffect_37,,加80点怒气,Buff,10000,1,52,data= 146,1,1,1,,1,3,meffect_37,
391,5级吸怒状态,2,2,,,0,,,meffect_13,meffect_37,,加100点怒气,Buff,10000,1,52,data= 149,1,1,1,,1,3,meffect_37,
392,2率鼓舞20气,2,2,,鼓舞,0,,2,meffect_13,meffect_37,,加20点怒气,Buff,5000,1,28,data =20,1,1,1,,1,3,meffect_37,
393,1级无敌,2,1,1,无敌,1,beffect_10,1,beffect_9,beffect_9,,,Buff,10000,1,6,,1,2,,1|10000,3,3,,
394,2级无敌,2,1,1,无敌,1,beffect_10,1,beffect_9,beffect_9,,,Buff,10000,1,6,,1,2,,2|10000,3,3,,
395,固定伤害500,2,2,,,0,,1,meffect_24,,,直接造成500点伤害,debuff,10000,1,9,data = -500,1,1,1,,,2,,
396,1率2回1级剧毒,3,2,1,剧毒,1,beffect_3,1,beffect_2,,,毒咒是指有概率中的毒,debuff,2000,7,51,data = -defender.currHp * 0.2,1,2,,2|10000,,1,,
397,2率2回1级剧毒,3,2,1,剧毒,1,beffect_3,1,beffect_2,,,毒咒是指有概率中的毒,debuff,4000,7,51,if defender.currHp *0.2>20000 then data = -20000 else data = -defender.currHp * 0.2 end,1,2,,2|10000,,1,,
398,3率2回1级剧毒,3,2,1,剧毒,1,beffect_3,1,beffect_2,,,毒咒是指有概率中的毒,debuff,6000,7,51,if defender.currHp *0.2>25000 then data = -25000 else data = -defender.currHp * 0.2 end,1,2,,2|10000,,1,,
399,4率2回1级剧毒,3,2,1,剧毒,1,beffect_3,1,beffect_2,,,毒咒是指有概率中的毒,debuff,8000,7,51,data = -defender.currHp * 0.2,1,2,,2|10000,,1,,
400,5率2回1级剧毒,3,2,1,剧毒,1,beffect_3,1,beffect_2,,,毒咒是指有概率中的毒,debuff,10000,7,51,data = -defender.currHp * 0.2,1,2,,2|10000,,1,,
401,1率3回1级剧毒,3,2,1,剧毒,1,beffect_3,1,beffect_2,,,毒咒是指有概率中的毒,debuff,2000,7,51,data = -defender.currHp * 0.2,1,2,,3|10000,,1,,
402,2率3回1级剧毒,3,2,1,剧毒,1,beffect_3,1,beffect_2,,,毒咒是指有概率中的毒,debuff,4000,7,51,if defender.currHp *0.2>25000 then data = -25000 else data = -defender.currHp * 0.2 end,1,2,,3|10000,,1,,
403,3率3回1级剧毒,3,2,1,剧毒,1,beffect_3,1,beffect_2,,,毒咒是指有概率中的毒,debuff,6000,7,51,data = -defender.currHp * 0.2,1,2,,3|10000,,1,,
404,4率3回1级剧毒,3,2,1,剧毒,1,beffect_3,1,beffect_2,,,毒咒是指有概率中的毒,debuff,8000,7,51,data = -defender.currHp * 0.2,1,2,,3|10000,,1,,
405,5率3回1级剧毒,3,2,1,剧毒,1,beffect_3,1,beffect_2,,,毒咒是指有概率中的毒,debuff,10000,7,51,data = -defender.currHp * 0.2,1,2,,3|10000,,1,,
406,1率2回2级剧毒,3,2,1,剧毒,1,beffect_3,1,beffect_2,,,毒咒是指有概率中的毒,debuff,2000,7,51,data = -defender.currHp * 0.25,1,2,,2|10000,,1,,
407,2率2回2级剧毒,3,2,1,剧毒,1,beffect_3,1,beffect_2,,,毒咒是指有概率中的毒,debuff,4000,7,51,data = -defender.currHp * 0.25,1,2,,2|10000,,1,,
408,3率2回2级剧毒,3,2,1,剧毒,1,beffect_3,1,beffect_2,,,毒咒是指有概率中的毒,debuff,6000,7,51,data = -defender.currHp * 0.25,1,2,,2|10000,,1,,
409,4率2回2级剧毒,3,2,1,剧毒,1,beffect_3,1,beffect_2,,,毒咒是指有概率中的毒,debuff,8000,7,51,data = -defender.currHp * 0.25,1,2,,2|10000,,1,,
410,5率2回2级剧毒,3,2,1,剧毒,1,beffect_3,1,beffect_2,,,毒咒是指有概率中的毒,debuff,10000,7,51,data = -defender.currHp * 0.25,1,2,,2|10000,,1,,
411,1率3回2级剧毒,3,2,1,剧毒,1,beffect_3,1,beffect_2,,,毒咒是指有概率中的毒,debuff,2000,7,51,data = -defender.currHp * 0.25,1,2,,3|10000,,1,,
412,2率3回2级剧毒,3,2,1,剧毒,1,beffect_3,1,beffect_2,,,毒咒是指有概率中的毒,debuff,4000,7,51,data = -defender.currHp * 0.25,1,2,,3|10000,,1,,
413,3率3回2级剧毒,3,2,1,剧毒,1,beffect_3,1,beffect_2,,,毒咒是指有概率中的毒,debuff,6000,7,51,data = -defender.currHp * 0.25,1,2,,3|10000,,1,,
414,4率3回2级剧毒,3,2,1,剧毒,1,beffect_3,1,beffect_2,,,毒咒是指有概率中的毒,debuff,8000,7,51,data = -defender.currHp * 0.25,1,2,,3|10000,,1,,
415,5率3回2级剧毒,3,2,1,剧毒,1,beffect_3,1,beffect_2,,,毒咒是指有概率中的毒,debuff,10000,7,51,data = -defender.currHp * 0.25,1,2,,3|10000,,1,,
421,1级1回闪避,2,2,1,看破,1,beffect_8,1,,beffect_7,,1级闪避,Buff,10000,1,44,data = 10000,1,2,,1|10000,1,,,
422,2级1回闪避,2,2,1,看破,1,beffect_8,1,,beffect_7,,2级闪避,Buff,10000,1,44,data = 20000,1,2,,1|10000,1,,,
423,3级1回闪避,2,2,1,看破,1,beffect_8,1,,beffect_7,,3级闪避,Buff,10000,1,44,data = 30000,1,2,,1|10000,1,,,
424,4级1回闪避,2,2,1,看破,1,beffect_8,1,,beffect_7,,4级闪避,Buff,10000,1,44,data = 40000,1,2,,1|10000,1,,,
425,5级1回闪避,2,2,1,看破,1,beffect_8,1,,beffect_7,,5级闪避,Buff,10000,1,44,data = 50000,1,2,,1|10000,1,,,
426,6级1回闪避,2,2,1,看破,1,beffect_8,1,,beffect_7,,6级闪避,Buff,10000,1,44,data = 60000,1,2,,1|10000,1,,,
427,7级1回闪避,2,2,1,看破,1,beffect_8,1,,beffect_7,,7级闪避,Buff,10000,1,44,data = 70000,1,2,,1|10000,1,,,
428,8级1回闪避,2,2,1,看破,1,beffect_8,1,,beffect_7,,8级闪避,Buff,10000,1,44,data = 80000,1,2,,1|10000,1,,,
429,9级1回闪避,2,2,1,看破,1,beffect_8,1,,beffect_7,,9级闪避,Buff,10000,1,44,data = 90000,1,2,,1|10000,1,,,
430,10级1回闪避,2,2,1,看破,1,beffect_8,1,,beffect_7,,10级闪避,Buff,10000,1,44,data = 100000,1,2,,1|10000,1,,,
431,1级2回闪避,2,2,1,看破,1,beffect_8,1,,beffect_7,,1级闪避,Buff,10000,1,44,data = 6000,1,2,,2|10000,1,,,
432,2级2回闪避,2,2,1,看破,1,beffect_8,1,,beffect_7,,2级闪避,Buff,10000,1,44,data = 20000,1,2,,2|10000,1,,,
433,3级2回闪避,2,2,1,看破,1,beffect_8,1,,beffect_7,,3级闪避,Buff,10000,1,44,data = 30000,1,2,,2|10000,1,,,
434,4级2回闪避,2,2,1,看破,1,beffect_8,1,,beffect_7,,4级闪避,Buff,10000,1,44,data = 40000,1,2,,2|10000,1,,,
435,5级2回闪避,2,2,1,看破,1,beffect_8,1,,beffect_7,,5级闪避,Buff,10000,1,44,data = 50000,1,2,,2|10000,1,,,
436,6级2回闪避,2,2,1,看破,1,beffect_8,1,,beffect_7,,6级闪避,Buff,10000,1,44,data = 60000,1,2,,2|10000,1,,,
437,7级2回闪避,2,2,1,看破,1,beffect_8,1,,beffect_7,,7级闪避,Buff,10000,1,44,data = 70000,1,2,,2|10000,1,,,
438,8级2回闪避,2,2,1,看破,1,beffect_8,1,,beffect_7,,8级闪避,Buff,10000,1,44,data = 80000,1,2,,2|10000,1,,,
439,9级2回闪避,2,2,1,看破,1,beffect_8,1,,beffect_7,,9级闪避,Buff,10000,1,44,data = 90000,1,2,,2|10000,1,,,
440,10级2回闪避,2,2,1,看破,1,beffect_8,1,,beffect_7,,10级闪避,Buff,10000,1,44,data = 100000,1,2,,2|10000,1,,,
441,1率1回眩艞删除,2,2,1,眩艞,1,beffect_4,1,,,,"眩艞技能的笱思为在角色行动前硐动，
1级眩艞30%概率",debuff,2000,1,1,,1,2,,1|10000,,,,
442,2率1回眩艞删除,2,2,1,眩艞,1,beffect_4,1,,,,"眩艞技能的笱思为在角色行动前硐动，
2级眩艞60%概率",debuff,4000,1,1,,1,2,,1|10000,,,,
443,3率1回眩艞删除,2,2,1,眩艞,1,beffect_4,1,,,,"眩艞技能的笱思为在角色行动前硐动，
3级眩艞90%概率",debuff,6000,1,1,,1,2,,1|10000,,,,
444,4率1回眩艞删除,2,2,1,眩艞,1,beffect_4,1,,,,"眩艞技能的笱思为在角色行动前硐动，
4级眩艞100%概率",debuff,8000,1,1,,1,2,,1|10000,,,,
445,5率1回眩艞删除,2,2,1,眩艞,1,beffect_4,1,,,,"眩艞技能的笱思为在角色行动前硐动，
4级眩艞100%概率",debuff,10000,1,1,,1,2,,1|10000,,,,
446,1率2回眩艞删除,2,2,1,眩艞,1,beffect_4,1,,,,"眩艞技能的笱思为在角色行动前硐动，
1级眩艞30%概率",debuff,2000,1,1,,1,2,,2|10000,,,,
447,2率2回眩艞删除,2,2,1,眩艞,1,beffect_4,1,,,,"眩艞技能的笱思为在角色行动前硐动，
2级眩艞60%概率",debuff,4000,1,1,,1,2,,2|10000,,,,
448,3率2回眩艞删除,2,2,1,眩艞,1,beffect_4,1,,,,"眩艞技能的笱思为在角色行动前硐动，
3级眩艞90%概率",debuff,6000,1,1,,1,2,,2|10000,,,,
449,4率2回眩艞删除,2,2,1,眩艞,1,beffect_4,1,,,,"眩艞技能的笱思为在角色行动前硐动，
4级眩艞100%概率",debuff,8000,1,1,,1,2,,2|10000,,,,
450,5率2回眩艞删除,2,2,1,眩艞,1,beffect_4,1,,,,"眩艞技能的笱思为在角色行动前硐动，
4级眩艞100%概率",debuff,10000,1,1,,1,2,,2|10000,,,,
451,1级锈刃1,1,2,,锈刃,1,beffect_14,1,,beffect_13,,物理攻击百分比加成,debuff,10000,1,15,data=-2500,1,2,,2|10000,3,,,
452,1级锈刃2,1,2,,,0,,1,,,,必杀攻击百分比加成,debuff,10000,1,18,data=-2500,1,2,,2|10000,,,,
453,1级锈刃3,1,2,,,0,,1,,,,魔法攻击百分比加成,debuff,10000,1,21,data=-2500,1,2,,2|10000,,,,
454,2级锈刃1,1,2,,锈刃,1,beffect_14,1,,beffect_13,,物理攻击百分比加成,debuff,10000,1,15,data=-3500,1,2,,2|10000,3,,,
455,2级锈刃2,1,2,,,0,,1,,,,必杀攻击百分比加成,debuff,10000,1,18,data=-3500,1,2,,2|10000,,,,
456,2级锈刃3,1,2,,,0,,1,,,,魔法攻击百分比加成,debuff,10000,1,21,data=-3500,1,2,,2|10000,,,,
460,1率1回眩艞,2,2,1,眩艞,1,beffect_4,1,,,,"眩艞技能的笱思为在角色行动前硐动，
1级眩艞30%概率",debuff,1000,1,1,,1,2,,1|10000,,,,
461,2率1回眩艞,2,2,1,眩艞,1,beffect_4,1,,,,"眩艞技能的笱思为在角色行动前硐动，
1级眩艞30%概率",debuff,2000,1,1,,1,2,,1|10000,,,,
462,3率1回眩艞,2,2,1,眩艞,1,beffect_4,1,,,,"眩艞技能的笱思为在角色行动前硐动，
1级眩艞30%概率",debuff,3000,1,1,,1,2,,1|10000,,,,
463,4率1回眩艞,2,2,1,眩艞,1,beffect_4,1,,,,"眩艞技能的笱思为在角色行动前硐动，
1级眩艞30%概率",debuff,4000,1,1,,1,2,,1|10000,,,,
464,5率1回眩艞,2,2,1,眩艞,1,beffect_4,1,,,,"眩艞技能的笱思为在角色行动前硐动，
1级眩艞30%概率",debuff,5000,1,1,,1,2,,1|10000,,,,
465,6率1回眩艞,2,2,1,眩艞,1,beffect_4,1,,,,"眩艞技能的笱思为在角色行动前硐动，
1级眩艞30%概率",debuff,6000,1,1,,1,2,,1|10000,,,,
466,7率1回眩艞,2,2,1,眩艞,1,beffect_4,1,,,,"眩艞技能的笱思为在角色行动前硐动，
1级眩艞30%概率",debuff,7000,1,1,,1,2,,1|10000,,,,
467,8率1回眩艞,2,2,1,眩艞,1,beffect_4,1,,,,"眩艞技能的笱思为在角色行动前硐动，
1级眩艞30%概率",debuff,8000,1,1,,1,2,,1|10000,,,,
468,9率1回眩艞,2,2,1,眩艞,1,beffect_4,1,,,,"眩艞技能的笱思为在角色行动前硐动，
1级眩艞30%概率",debuff,9000,1,1,,1,2,,1|10000,,,,
469,10率1回眩艞,2,2,1,眩艞,1,beffect_4,1,,,,"眩艞技能的笱思为在角色行动前硐动，
1级眩艞30%概率",debuff,10000,1,1,,1,2,,1|10000,,,,
470,1率2回眩艞,2,2,1,眩艞,1,beffect_4,1,,,,"眩艞技能的笱思为在角色行动前硐动，
1级眩艞30%概率",debuff,1000,1,1,,1,2,,2|10000,,,,
471,2率2回眩艞,2,2,1,眩艞,1,beffect_4,1,,,,"眩艞技能的笱思为在角色行动前硐动，
1级眩艞30%概率",debuff,2000,1,1,,1,2,,2|10000,,,,
472,3率2回眩艞,2,2,1,眩艞,1,beffect_4,1,,,,"眩艞技能的笱思为在角色行动前硐动，
1级眩艞30%概率",debuff,3000,1,1,,1,2,,2|10000,,,,
473,4率2回眩艞,2,2,1,眩艞,1,beffect_4,1,,,,"眩艞技能的笱思为在角色行动前硐动，
1级眩艞30%概率",debuff,4000,1,1,,1,2,,2|10000,,,,
474,5率2回眩艞,2,2,1,眩艞,1,beffect_4,1,,,,"眩艞技能的笱思为在角色行动前硐动，
1级眩艞30%概率",debuff,5000,1,1,,1,2,,2|10000,,,,
475,6率2回眩艞,2,2,1,眩艞,1,beffect_4,1,,,,"眩艞技能的笱思为在角色行动前硐动，
1级眩艞30%概率",debuff,6000,1,1,,1,2,,2|10000,,,,
476,7率2回眩艞,2,2,1,眩艞,1,beffect_4,1,,,,"眩艞技能的笱思为在角色行动前硐动，
1级眩艞30%概率",debuff,7000,1,1,,1,2,,2|10000,,,,
477,8率2回眩艞,2,2,1,眩艞,1,beffect_4,1,,,,"眩艞技能的笱思为在角色行动前硐动，
1级眩艞30%概率",debuff,8000,1,1,,1,2,,2|10000,,,,
478,9率2回眩艞,2,2,1,眩艞,1,beffect_4,1,,,,"眩艞技能的笱思为在角色行动前硐动，
1级眩艞30%概率",debuff,9000,1,1,,1,2,,2|10000,,,,
