技能ID,技能模板名称,技能显示名称,技能图标,施法地点,翨道皮肤路径,技能释放动作ID,技能释放特效,是否全屏特效,技能打击效果特效路径,技能打击特效挂点,技能击中效果特效路径,目标是否播放受伤动作,空格可否播放特效,是否固定地点播放,特效显示顺序,前台技能效果类型,技能显示类型,技能描述,释放方式,技能类型,技能耗魔,昐围ID,是否增加怒气,施法者怒气获得基础值,施法者怒气获得修正值,施法者怒气获得倍率,被打者怒气获得基础值,被打者怒气获得修正值,被打者怒气获得倍率,是否跳过命中判定,是否跳过致命判定,是否跳过格挡判定,是否跳过伤害过程,输出通道,属性输出通道,物理基础攻击修正值,物理攻击百分比修正值,物理攻击伤害倍率,必杀基础攻击修正值,必杀攻击百分比修正值,必杀攻击伤害倍率,魔法基础攻击修正值,魔法攻击百分比修正值,魔法攻击伤害倍率,风属性基础攻击修正值,风属性攻击伤害倍率,雷属性基础攻击修正值,雷属性攻击伤害倍率,水属性基础攻击修正值,水属性攻击伤害倍率,火属性基础攻击修正值,火属性攻击伤害倍率,技能最终伤害值加成,技能修正致命一击率,技能修正命中率,多踥伤害系数,次数限制,技能硐动权重,技能冷却回合,状态包ID X,删除状态包IDX,复合技能IDX,释放概率,是否享受怒气加成,技能目标昐围图片,怒气技能类型,技能提示,击中效果提示
1503191,"斯库亚膣,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[物理]：对敌方单体造成伤害,1,物理攻击,0,7,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1.png,,强化武器可提高技能伤害,
1503192,"斯库亚膣,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[物理]：对敌方单体造成伤害,1,物理攻击,0,7,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1.png,,强化武器可提高技能伤害,
1503200,"约翰·贾恩多,普通技能,物理攻击,敌方全体单体怒气,物理伤害,1234,,,,,,,",巨人直劈,,3,,1,,0,,,heffect_2,1,0,1,Ic-1D-1sc0D-1sc1D-1sc-1D0sc0D0sc1D0sc-1D1sc0D1sc1D1sB,1,2,[物理]：使用长刀自上而下对敌人覹行劈斩，对敌方全体造成伤害，增加单体目标怒气。,1,物理攻击,0,39,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,7.png,,强化武器可提高技能伤害,
1503201,"约翰·贾恩多,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[物理]：对敌方单体造成伤害,1,物理攻击,0,7,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1503202,,0,1.png,,强化武器可提高技能伤害,
1503202,"约翰·贾恩多,普通技能,小弟技能,敌方单体,1234,1234,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[特殊]：对敌方单体造成,1,加状态,0,7,0,0,0,0,0,0,0,1,1,1,1,,"4,5,6,7",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1.png,,强化装备无法提高技能效果,
1503210,"约翰·贾恩多,怒气技能,怒气攻击,敌方全体,物理伤害,1234,,,,,,,",巨人怒劈,,3,,1,,0,,,heffect_3,1,0,1,Ic-1D-1sc0D-1sc1D-1sc-1D0sc0D0sc1D0sc-1D1sc0D1sc1D1sB,1,2,[必杀]：使用长刀向敌人覹行重砍，对全体单体造成伤害，有概率给己方随机1个目标附加婄壁1回合。,2,怒气攻击,99999,13,0,0,0,0,0,0,0,1,0,1,0,2,"4,5,6,7",0,0,0,0,0,35000,0,0,0,,,,,,,,,,,,,,,,,,1503211,,1,7.png,,强化戒指可提高技能伤害,
1503211,"约翰·贾恩多,普通技能,小弟技能,己方随机,1234,3率1回婄壁,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[物理]：对敌方单体造成伤害,1,加状态,0,19,0,0,0,0,0,0,0,1,1,1,1,,"4,5,6,7",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,208,,,,0,1.png,,强化武器可提高技能伤害,
1503212,"约翰·贾恩多,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[物理]：对敌方单体造成伤害,1,物理攻击,0,7,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1.png,,强化武器可提高技能伤害,
1503220,"卡普中将2档,普通技能,物理攻击,敌方直线,物理伤害,1234,,00气,,,,,",爱之婄拳,,1,,,,,,,heffect_5,1,0,0,Ic-2D0sc-1D0sc0D0sc1D0sc2D0sB,1,2,"[物理]：携带着霸气的爱的拳头，无坚不摧，对敌方直线造成伤害,不增加目标怒气",1,物理攻击,0,11,1,25,0,0,0,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,3.png,,强化武器可提高技能伤害,
1503221,"卡普中将2档,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[物理]：对敌方单体造成伤害,1,物理攻击,0,7,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1503222,,0,1.png,,强化武器可提高技能伤害,
1503222,"卡普中将2档,普通技能,小弟技能,敌方单体,1234,1234,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[特殊]：对敌方单体造成,1,加状态,0,7,0,0,0,0,0,0,0,1,1,1,1,,"4,5,6,7",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1.png,,强化装备无法提高技能效果,
1503230,"卡普中将2档,怒气技能,怒气攻击,敌方直线,物理伤害,1234,,,,,,,",炮翨乱舞,,9,bullet_12,1,,0,,,meffect_53,1,0,0,Ic-2D0sc-1D0sc0D0sc1D0sc2D0sB,1,2,[物理]：徒手将炮翨扔出，速度和威力都远超一般的大炮，对敌方直线造成伤害，使己方随机1名夥伴免疫降低怒气2回合并且婄壁1回合,2,怒气攻击,99999,11,0,0,0,0,0,0,0,1,0,1,0,1,"4,5,6,7",0,0,40000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1503231,,1,3.png,,强化戒指可提高技能伤害,
1503231,"卡普中将2档,普通技能,小弟技能,己方随机,1234,卡普霸气,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[物理]：对敌方单体造成伤害,1,加状态,0,19,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,210,,,,0,1.png,,强化武器可提高技能伤害,
1503232,"卡普中将2档,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[物理]：对敌方单体造成伤害,1,物理攻击,0,7,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1.png,,强化武器可提高技能伤害,
1503240,"达斯琪霸气,普通技能,物理攻击,敌方後排,物理伤害,1率1回眩艞,,,,,,,",挥刀斩,,1,,1,,0,,,heffect_3,1,0,0,Oc0D0sA,1,1,[物理]：挥出令人艞眩的斩击，对敌方後排单体造成伤害，有一定概率眩艞目标,1,物理攻击,0,8,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,43000,0,0,0,0,0,0,,,,,,,,,,,,,,,,"443,10008,699,700,701",,,,0,2.png,,强化武器可提高技能伤害,
1503241,"达斯琪霸气,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[物理]：对敌方单体造成伤害,1,物理攻击,0,7,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1503242,,0,1.png,,强化武器可提高技能伤害,
1503242,"达斯琪霸气,普通技能,小弟技能,敌方单体,1234,1234,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[特殊]：对敌方单体造成,1,加状态,0,7,0,0,0,0,0,0,0,1,1,1,1,,"4,5,6,7",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1.png,,强化装备无法提高技能效果,
1503250,"达斯琪霸气,怒气技能,怒气攻击,敌方後排,必杀伤害,10率2回眩艞,,,,,,,",时雨居合斩,,1,,1,,0,,,heffect_2,1,0,0,Oc0D0sA,1,1,[必杀]：轻身帮悢，朝对手的正面施展直斩，对敌方後排单体造成高伤害，100%眩艞目标2回合，同时恢?自身40点怒气,2,怒气攻击,99999,8,0,0,0,0,0,0,0,1,0,1,0,2,"4,5,6,7",0,0,0,0,0,77000,0,0,0,,,,,,,,,,,,,,,,"469,10008,699,700,701,10009",,1503251,,1,2.png,,强化戒指可提高技能伤害,
1503251,"达斯琪霸气,普通技能,小弟技能,目标自己,1234,5率鼓舞40气,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[物理]：对敌方单体造成伤害,1,加状态,0,1,0,0,0,0,0,0,0,1,1,1,1,,"4,5,6,7",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,"316,43",,,,0,1.png,,强化武器可提高技能伤害,
1503252,"达斯琪霸气,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[物理]：对敌方单体造成伤害,1,物理攻击,0,7,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1.png,,强化武器可提高技能伤害,
1503260,"佩罗娜霸气,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,,,",悲观鬼魂,,4,bullet_42,1,,,,,heffect_12,1,0,0,Oc0D0sA,1,1,[物理]：对敌方单体造成伤害，附加一次魔法伤害,1,物理攻击,0,7,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,30000,0,0,0,0,0,0,,,,,,,,,,,,,,,,"377,585,182",,1503261,,0,1.png,,强化武器可提高技能伤害,
1503261,"佩罗娜霸气,普通技能,小弟技能,敌方单体,魔法伤害,1234,,,,,,,",,,,,,,,,,,1,,,Oc0D0sA,1,1,[物理]：对敌方单体造成伤害,1,物理攻击,0,7,0,0,0,0,0,0,0,0,0,0,0,3,"4,5,6,7",0,0,0,0,0,0,0,0,10000,,,,,,,,,,,,,,,,"352,580",,,,0,1.png,,强化武器可提高技能伤害,
1503262,"佩罗娜霸气,怒气技能,怒气攻击,敌方单体,魔法伤害,霸气女帝目标效果,,,,,,,",甜甜甘风暴,,1,,1,,0,,,meffect_32,1,0,0,Oc0D0sA,1,1,[魔法]：使用美色诱惑，然後双手摆出爱心的姿势，放出的爱心型光线。对敌方直线造成伤害，如果目标怒气小於等於75则令目标石化1回合。回覆自身50怒气和50%血量,2,怒气攻击,99999,13,0,0,0,0,0,0,0,1,0,1,0,3,"4,5,6,7",0,0,0,0,0,0,0,0,38000,,33000,,33000,,33000,,33000,,,,,,,,"386,587,182",,"1503270,1503271,1503272",,,1.png,,强化魔器可提高技能伤害
1503270,"佩罗娜霸气,普通技能,小弟技能,目标自己,1234,5率2回2级暴击,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[特殊]：对敌方单体造成,1,加状态,0,1,0,0,0,0,0,0,0,1,1,1,1,,"4,5,6,7",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,"40,43,46,319",,,,0,1.png,,强化装备无法提高技能效果
1503271,"佩罗娜霸气,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,,,",,,,,,,0,meffect_27,3,heffect_10,1,0,1,Oc0D0sA,1,1,[物理]：对敌方单体造成伤害,1,物理攻击,0,13,0,0,0,0,0,0,0,0,0,0,0,2,"4,5,6,7",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,"357,10013,196,10015,10015,10015,10015",,,,,1.png,,强化武器可提高技能伤害,
1503272,"佩罗娜霸气,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,,,",,,,,,,0,meffect_27,3,heffect_10,1,0,1,Oc0D0sA,1,1,[物理]：对敌方单体造成伤害,1,物理攻击,0,27,0,0,0,0,0,0,0,0,0,0,0,2,"4,5,6,7",0,0,0,0,0,10000,0,0,0,,,,,,,,,,,,,,,,"813,352",,,4000,,1.png,,强化武器可提高技能伤害,
1503280,"佛之战国,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,,,",巨佛一击,,1,,1,,0,,2,heffect_5,1,0,0,Oc0D0sA,1,1,[物理]：瞬间化身为金色大佛，使用拳头猛击敌人，对敌方单体造成伤害,1,物理攻击,0,7,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1.png,,强化武器可提高技能伤害,
1503281,"佛之战国,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[物理]：对敌方单体造成伤害,1,物理攻击,0,7,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1503282,,0,1.png,,强化武器可提高技能伤害
1503282,"佛之战国,普通技能,小弟技能,敌方单体,1234,1234,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[特殊]：对敌方单体造成,1,加状态,0,7,0,0,0,0,0,0,0,1,1,1,1,,"4,5,6,7",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1.png,,强化装备无法提高技能效果
1503290,"佛之战国,怒气技能,怒气攻击,敌方全体,必杀伤害,1234,,,,,,,",巨佛冲击波,,2,,1,,0,,2,heffect_13,1,0,1,Ic-1D-1sc0D-1sc1D-1sc-1D0sc0D0sc1D0sc-1D1sc0D1sc1D1sB,1,2,[必杀]：化身为金色巨佛後，凝聚气息朝对手硐出球形冲击波，对敌方全体造成伤害，每次怒气攻击後给自己增加500必杀攻击,2,怒气攻击,99999,13,0,0,0,0,0,0,0,1,0,1,0,2,"4,5,6,7",0,0,0,0,0,35000,0,0,0,,,,,,,,,,,,,,,,,,1503291,,1,7.png,,强化戒指可提高技能伤害
1503291,"佛之战国,普通技能,小弟技能,目标自己,1234,必杀攻击固定值500,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[物理]：对敌方单体造成伤害,1,加状态,0,1,0,0,0,0,0,0,0,1,1,1,1,,"4,5,6,7",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,42,,,,0,1.png,,强化武器可提高技能伤害
1503292,"佛之战国,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[物理]：对敌方单体造成伤害,1,物理攻击,0,7,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1.png,,强化武器可提高技能伤害
1503300,"克比,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,,,",岚脚,,4,bullet_14,1,,0,,2,heffect_3,1,0,0,Oc0D0sA,1,1,[物理]：原地高速踢击，脚风成月牙形的真空斩攻击敌人，对敌方单体造成伤害,1,物理攻击,0,7,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1.png,,强化武器可提高技能伤害
1503301,"克比,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[物理]：对敌方单体造成伤害,1,物理攻击,0,7,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1503302,,0,1.png,,强化武器可提高技能伤害
1503302,"克比,普通技能,小弟技能,敌方单体,1234,1234,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[特殊]：对敌方单体造成,1,加状态,0,7,0,0,0,0,0,0,0,1,1,1,1,,"4,5,6,7",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1.png,,强化装备无法提高技能效果
1503310,"克比,怒气技能,怒气攻击,敌方单体,物理伤害,1234,,,,,,,",剃之婄拳,,1,,1,,0,,2,heffect_5,1,0,0,Oc0D0sA,1,1,[必杀]：使用剃术消失後，在对手的後方出现并给予对手直拳攻击，对敌方单体造成伤害，给自己增加暴击,2,怒气攻击,99999,7,0,0,0,0,0,0,0,1,0,1,0,1,"4,5,6,7",0,0,40000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1503311,,1,1.png,,强化戒指可提高技能伤害
1503311,"克比,普通技能,小弟技能,目标自己,1234,1级狂暴123,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[物理]：对敌方单体造成伤害,1,加状态,0,1,0,0,0,0,0,0,0,1,1,1,1,,"4,5,6,7",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,226,,,,0,1.png,,强化武器可提高技能伤害
1503312,"克比,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[物理]：对敌方单体造成伤害,1,物理攻击,0,7,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1.png,,强化武器可提高技能伤害
1503320,"卡普中将3档,普通技能,物理攻击,敌方直线,物理伤害,1234,,00气,,,,,",爱之婄拳,,1,,,,,,,heffect_5,1,0,0,Ic-2D0sc-1D0sc0D0sc1D0sc2D0sB,1,2,"[物理]：携带着霸气的爱的拳头，无坚不摧，对敌方直线造成伤害,不增加目标怒气",1,物理攻击,0,11,1,25,0,0,0,0,0,0,0,0,0,1,"4,5,6,7",0,0,20000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,3.png,,强化武器可提高技能伤害
1503321,"卡普中将3档,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[物理]：对敌方单体造成伤害,1,物理攻击,0,7,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1503322,,0,1.png,,强化武器可提高技能伤害
1503322,"卡普中将3档,普通技能,小弟技能,敌方单体,1234,1234,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[特殊]：对敌方单体造成,1,加状态,0,7,0,0,0,0,0,0,0,1,1,1,1,,"4,5,6,7",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1.png,,强化装备无法提高技能效果
1503330,"卡普中将3档,怒气技能,怒气攻击,敌方直线,物理伤害,1234,,,,,,,",炮翨乱舞,,9,bullet_12,1,,0,,,meffect_53,1,0,0,Ic-2D0sc-1D0sc0D0sc1D0sc2D0sB,1,2,[物理]：徒手将炮翨扔出，速度和威力都远超一般的大炮，对敌方直线造成伤害，使自己免疫降低怒气2回合并且婄壁1回合,2,怒气攻击,99999,11,0,0,0,0,0,0,0,1,0,1,0,1,"4,5,6,7",0,0,60000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1503331,,1,3.png,,强化戒指可提高技能伤害
1503331,"卡普中将3档,普通技能,小弟技能,目标自己,1234,卡普霸气,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[物理]：对敌方单体造成伤害,1,加状态,0,1,0,0,0,0,0,0,0,1,1,1,1,,"4,5,6,7",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,210,,,,0,1.png,,强化武器可提高技能伤害
1503332,"卡普中将3档,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[物理]：对敌方单体造成伤害,1,物理攻击,0,7,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1.png,,强化武器可提高技能伤害
1503340,"麦哲伦2档,普通技能,物理攻击,敌方全体单体怒气,物理伤害,1234,,,,,,,",地狱毒龙,,4,bullet_56,,,,,,beffect_2,1,0,1,Ic-1D-1sc0D-1sc1D-1sc-1D0sc0D0sc1D0sc-1D1sc0D1sc1D1sB,1,2,[物理]：利用果实能力将身体毒媞具化为三头毒龙，对敌方全体造成伤害，只增加单体目标怒气。,1,物理攻击,0,39,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,397,,,,0,7.png,,强化武器可提高技能伤害,
1503341,"麦哲伦2档,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[物理]：对敌方单体造成伤害,1,物理攻击,0,7,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1503342,,0,1.png,,强化武器可提高技能伤害,
1503342,"麦哲伦2档,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[特殊]：对敌方单体造成,1,加状态,0,7,0,0,0,0,0,0,0,1,1,1,1,,"4,5,6,7",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1.png,,强化装备无法提高技能效果,
1503350,"麦哲伦2档,怒气技能,怒气攻击,敌方全体,魔法伤害,1234,,,,,,,",毒之巨兵,,3,,,,,meffect_29,3,,1,0,1,Ic-1D-1sc0D-1sc1D-1sc-1D0sc0D0sc1D0sc-1D1sc0D1sc1D1sB,1,2,[魔法]：毒毒果实硐威，囤积巨量毒媞，在身後具化出一个红色巨毒人，拍向地面，蝎颤大地，对敌方全体造成伤害。,2,怒气攻击,99999,13,0,0,0,0,0,0,0,1,0,1,0,3,"4,5,6,7",0,0,0,0,0,0,0,0,15000,,,,,,,,,,,,,,,,397,,,,1,7.png,,强化戒指可提高技能伤害,
1503351,"麦哲伦2档,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[物理]：对敌方单体造成伤害,1,物理攻击,0,7,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1.png,,强化武器可提高技能伤害,
1503352,"麦哲伦2档,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[物理]：对敌方单体造成伤害,1,物理攻击,0,7,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1.png,,强化武器可提高技能伤害,
1503360,"备用諃雄209,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[物理]：对敌方单体造成伤害,1,物理攻击,0,7,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1.png,,强化武器可提高技能伤害,
1503361,"备用諃雄209,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[物理]：对敌方单体造成伤害,1,物理攻击,0,7,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1503362,,0,1.png,,强化武器可提高技能伤害,
1503362,"备用諃雄209,普通技能,小弟技能,敌方单体,1234,1234,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[特殊]：对敌方单体造成,1,加状态,0,7,0,0,0,0,0,0,0,1,1,1,1,,"4,5,6,7",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1.png,,强化装备无法提高技能效果,
1503370,"备用諃雄209,怒气技能,怒气攻击,敌方单体,必杀伤害,1234,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[必杀]：对敌方单体造成伤害,2,怒气攻击,99999,7,0,0,0,0,0,0,0,1,0,1,0,2,"4,5,6,7",0,0,0,0,0,35000,0,0,0,,,,,,,,,,,,,,,,,,,,1,1.png,,强化戒指可提高技能伤害,
1503371,"备用諃雄209,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[物理]：对敌方单体造成伤害,1,物理攻击,0,7,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1.png,,强化武器可提高技能伤害,
1503372,"备用諃雄209,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[物理]：对敌方单体造成伤害,1,物理攻击,0,7,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1.png,,强化武器可提高技能伤害,
1503380,"备用諃雄210,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[物理]：对敌方单体造成伤害,1,物理攻击,0,7,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1.png,,强化武器可提高技能伤害,
1503381,"备用諃雄210,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[物理]：对敌方单体造成伤害,1,物理攻击,0,7,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1503382,,0,1.png,,强化武器可提高技能伤害,
1503382,"备用諃雄210,普通技能,小弟技能,敌方单体,1234,1234,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[特殊]：对敌方单体造成,1,加状态,0,7,0,0,0,0,0,0,0,1,1,1,1,,"4,5,6,7",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1.png,,强化装备无法提高技能效果,
1503390,"备用諃雄210,怒气技能,怒气攻击,敌方单体,必杀伤害,1234,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[必杀]：对敌方单体造成伤害,2,怒气攻击,99999,7,0,0,0,0,0,0,0,1,0,1,0,2,"4,5,6,7",0,0,0,0,0,35000,0,0,0,,,,,,,,,,,,,,,,,,,,1,1.png,,强化戒指可提高技能伤害,
1503391,"备用諃雄210,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,,,",,,,,,,,,,,,,,Oc0D0sA,1,1,[物理]：对敌方单体造成伤害,1,物理攻击,0,7,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1.png,,强化武器可提高技能伤害,
